forecast_date,target,horizon,type,quantile,value
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.75,0.253772
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.8,0.315644
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.85,0.382281
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.9,0.504669
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.95,0.67271
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.975,0.834328
2026-03-28,lab_positivity_pct,3 wk ahead,quantile,0.99,1.046367
2026-03-28,lab_positivity_pct,3 wk ahead,point,NA,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.01,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.025,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.05,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.1,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.15,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.2,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.25,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.3,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.35,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.4,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.45,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.5,0.0
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.55,0.25756
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.6,0.692949
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.65,1.318314
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.7,1.964412
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.75,2.641885
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.8,3.559846
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.85,4.202358
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.9,5.215486
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.95,6.461994
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.975,8.481092
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,quantile,0.99,9.105552
2026-03-28,gopc_ili_rate_per1000,4 wk ahead,point,NA,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.01,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.025,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.05,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.1,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.15,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.2,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.25,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.3,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.35,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.4,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.45,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.5,0.0
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.55,0.025756
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.6,0.069295
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.65,0.131831
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.7,0.196441
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.75,0.264189
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.8,0.355985
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.85,0.420236
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.9,0.521549
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.95,0.646199
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.975,0.848109
2026-03-28,lab_positivity_pct,4 wk ahead,quantile,0.99,0.910555
2026-03-28,lab_positivity_pct,4 wk ahead,point,NA,0.0
