date,year,week,month,y_raw,y_log,suppression_flag_filled,post_covid,temp_z,ah_z,hko_temp_norm,hko_ah_norm
2020-09-06,2020.0,37.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2020-09-13,2020.0,38.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2020-09-20,2020.0,39.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2020-09-27,2020.0,40.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2020-10-04,2020.0,41.0,10,0.0,-13.815510557964274,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2020-10-11,2020.0,42.0,10,0.0,-13.815510557964274,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2020-10-18,2020.0,43.0,10,0.0,-13.815510557964274,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2020-10-25,2020.0,44.0,10,0.0,-13.815510557964274,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2020-11-01,2020.0,45.0,11,0.0001503890909091,-8.802284682928311,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2020-11-08,2020.0,46.0,11,4.631272727281116e-05,-9.98009374754487,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2020-11-15,2020.0,47.0,11,0.0,-13.815510557964274,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2020-11-22,2020.0,48.0,11,5.5236363636345385e-05,-9.803889060041357,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2020-11-29,2020.0,49.0,11,0.0001937599999999,-8.548890278160009,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2020-12-06,2020.0,50.0,12,2.2836363636146405e-06,-12.98974148917216,1,0,-1.171108025009294,-1.276864867779872,17.8,10.621
2020-12-13,2020.0,51.0,12,0.0003716072727273,-7.897672979829402,1,0,-1.171108025009294,-1.276864867779872,17.8,10.621
2020-12-20,2020.0,52.0,12,0.0008189309090909,-7.107510837754088,1,0,-1.171108025009294,-1.276864867779872,17.8,10.621
2020-12-27,2021.0,1.0,12,0.0003356781818182,-7.999357649184857,1,0,-1.171108025009294,-1.276864867779872,17.8,10.621
2021-01-03,2021.0,2.0,1,9.9e-06,-11.52297580082373,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2021-01-10,2021.0,3.0,1,0.0012154018181817,-6.71268054231079,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2021-01-17,2021.0,4.0,1,0.0007966254545455,-7.135125933740931,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2021-01-24,2021.0,5.0,1,0.0020855490909091,-6.17272310544867,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2021-01-31,2021.0,6.0,1,3.3e-06,-12.621588089491839,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2021-02-07,2021.0,7.0,2,0.0,-13.815510557964274,1,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2021-02-14,2021.0,8.0,2,0.0013678727272727,-6.594498499729231,1,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2021-02-21,2021.0,9.0,2,0.0007623963636364,-7.179043975262624,1,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2021-02-28,2021.0,10.0,2,3.1000000000000004e-06,-12.684108446473173,1,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2021-03-07,2021.0,11.0,3,0.0,-13.815510557964274,1,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2021-03-14,2021.0,12.0,3,0.0,-13.815510557964274,1,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2021-03-21,2021.0,13.0,3,4.29e-06,-12.35922382502435,1,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2021-03-28,2021.0,14.0,3,0.0,-13.815510557964274,1,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2021-04-04,2021.0,15.0,4,0.0021204672727273,-6.156118802921477,1,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2021-04-11,2021.0,16.0,4,0.0007579909090909,-7.184839165677595,1,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2021-04-18,2021.0,17.0,4,2.58e-06,-12.867721159030749,1,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2021-04-25,2021.0,18.0,4,0.0,-13.815510557964274,1,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2021-05-02,2021.0,19.0,5,0.0,-13.815510557964274,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2021-05-09,2021.0,20.0,5,0.0,-13.815510557964274,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2021-05-16,2021.0,21.0,5,0.0,-13.815510557964274,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2021-05-23,2021.0,22.0,5,0.0,-13.815510557964274,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2021-05-30,2021.0,23.0,5,0.0,-13.815510557964274,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2021-06-06,2021.0,24.0,6,0.0,-13.815510557964274,1,0,1.096837678250994,1.2018381450625806,28.5,23.215
2021-06-13,2021.0,25.0,6,0.0,-13.815510557964274,1,0,1.096837678250994,1.2018381450625806,28.5,23.215
2021-06-20,2021.0,26.0,6,0.0,-13.815510557964274,1,0,1.096837678250994,1.2018381450625806,28.5,23.215
2021-06-27,2021.0,27.0,6,0.0,-13.815510557964274,1,0,1.096837678250994,1.2018381450625806,28.5,23.215
2021-07-04,2021.0,28.0,7,0.0,-13.815510557964274,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2021-07-11,2021.0,29.0,7,0.0,-13.815510557964274,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2021-07-18,2021.0,30.0,7,8.08e-06,-11.72611868543127,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2021-07-25,2021.0,31.0,7,0.0,-13.815510557964274,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2021-08-01,2021.0,32.0,8,0.0,-13.815510557964274,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2021-08-08,2021.0,33.0,8,0.0,-13.815510557964274,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2021-08-15,2021.0,34.0,8,0.0,-13.815510557964274,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2021-08-22,2021.0,35.0,8,0.0,-13.815510557964274,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2021-08-29,2021.0,36.0,8,0.0,-13.815510557964274,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2021-09-05,2021.0,37.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2021-09-12,2021.0,38.0,9,1.421e-05,-11.161564615855266,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2021-09-19,2021.0,39.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2021-09-26,2021.0,40.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
2021-10-03,2021.0,41.0,10,0.0,-13.815510557964274,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2021-10-10,2021.0,42.0,10,0.0,-13.815510557964274,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2021-10-17,2021.0,43.0,10,0.0,-13.815510557964274,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2021-10-24,2021.0,44.0,10,0.0013983327272727,-6.572474661147596,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2021-10-31,2021.0,45.0,10,0.0018158063636364,-6.311225632441724,1,0,0.43976929693259253,-0.03003434639215283,25.4,16.956
2021-11-07,2021.0,46.0,11,0.00254333,-5.97428103297073,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2021-11-14,2021.0,47.0,11,0.0006034036363636,-7.41292420480139,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2021-11-21,2021.0,48.0,11,0.0,-13.815510557964274,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2021-11-28,2021.0,49.0,11,0.0,-13.815510557964274,1,0,-0.40806087251050593,-0.7846275932746336,21.4,13.122
2021-12-05,2021.0,50.0,12,0.0,-13.815510557964274,1,0,-1.171108025009294,-1.276864867779872,17.8,10.621
2021-12-12,2021.0,51.0,12,3.523e-05,-10.253612565611128,1,0,-1.171108025009294,-1.276864867779872,17.8,10.621
2021-12-19,2021.0,52.0,12,0.0,-13.815510557964274,1,0,-1.171108025009294,-1.276864867779872,17.8,10.621
2021-12-26,2022.0,1.0,12,3.626e-05,-10.22479535263757,1,0,-1.171108025009294,-1.276864867779872,17.8,10.621
2022-01-02,2022.0,2.0,1,0.0,-13.815510557964274,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2022-01-09,2022.0,3.0,1,9.31e-06,-11.584421466675298,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2022-01-16,2022.0,4.0,1,0.0,-13.815510557964274,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2022-01-23,2022.0,5.0,1,0.0,-13.815510557964274,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2022-01-30,2022.0,6.0,1,0.0,-13.815510557964274,1,0,-1.489044338550456,-1.3475218775948983,16.3,10.262
2022-02-06,2022.0,7.0,2,0.0,-13.815510557964274,1,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2022-02-13,2022.0,8.0,2,0.0,-13.815510557964274,1,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2022-02-20,2022.0,9.0,2,0.0,-13.815510557964274,1,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2022-02-27,2022.0,10.0,2,0.0,-13.815510557964274,1,0,-1.3194783046618361,-1.0761123607845329,17.1,11.641
2022-03-06,2022.0,11.0,3,0.0,-13.815510557964274,1,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2022-03-13,2022.0,12.0,3,0.0,-13.815510557964274,1,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2022-03-20,2022.0,13.0,3,0.0,-13.815510557964274,1,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2022-03-27,2022.0,14.0,3,0.0,-13.815510557964274,1,0,-0.8107802029959774,-0.6592556844942109,19.5,13.759
2022-04-03,2022.0,15.0,4,0.0,-13.815510557964274,1,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2022-04-10,2022.0,16.0,4,0.0,-13.815510557964274,1,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2022-04-17,2022.0,17.0,4,0.0,-13.815510557964274,1,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2022-04-24,2022.0,18.0,4,0.0,-13.815510557964274,1,0,-0.0053415420250336985,0.04849531075602415,23.3,17.355
2022-05-01,2022.0,19.0,5,0.0,-13.815510557964274,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2022-05-08,2022.0,20.0,5,0.0026843454545454,-5.920318359307955,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2022-05-15,2022.0,21.0,5,1.12e-05,-11.399596779663225,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2022-05-22,2022.0,22.0,5,0.0026527690909091,-5.932151244588049,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2022-05-29,2022.0,23.0,5,0.0037181927272726,-5.59451755475076,1,0,0.6517268392933672,0.7011377746742051,26.4,20.671
2022-06-05,2022.0,24.0,6,0.0045275163636363,-5.397581753936859,1,0,1.096837678250994,1.2018381450625806,28.5,23.215
2022-06-12,2022.0,25.0,6,0.00399544,-5.522601568156517,1,0,1.096837678250994,1.2018381450625806,28.5,23.215
2022-06-19,2022.0,26.0,6,0.0007306636363636,-7.221557345885669,1,0,1.096837678250994,1.2018381450625806,28.5,23.215
2022-06-26,2022.0,27.0,6,0.0014568872727272,-6.53145312420136,1,0,1.096837678250994,1.2018381450625806,28.5,23.215
2022-07-03,2022.0,28.0,7,0.0008269109090909,-7.097813596566011,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2022-07-10,2022.0,29.0,7,0.0001443345454545,-8.843376720597028,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2022-07-17,2022.0,30.0,7,0.0005337581818181,-7.535567664605718,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2022-07-24,2022.0,31.0,7,0.0015001818181818,-6.502168966098369,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2022-07-31,2022.0,32.0,7,0.0021851054545454,-6.1260911886493625,1,0,1.2240122036674592,1.3543706871423724,29.1,23.99
2022-08-07,2022.0,33.0,8,0.0010032290909089,-6.9045313903911225,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2022-08-14,2022.0,34.0,8,0.0026352527272727,-5.938776189909598,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2022-08-21,2022.0,35.0,8,0.0055954763636363,-5.185796799888771,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2022-08-28,2022.0,36.0,8,7.499999999999999e-06,-11.80060753742201,1,0,1.1604249409592267,1.277612375644155,28.8,23.6
2022-09-04,2022.0,37.0,9,0.0,-13.815510557964274,1,0,0.9484673985984521,0.8703996923369419,27.8,21.531
